title,authors,abstract,publish_text,year,publish,ref_wr,key_words,resource
人工智能在电气工程自动化中的应用,牛美英，渠基磊，吴志鹏,"摘 要： 随着科技的不断进步与发展,要想实现电气自动化控制的创新就需要有人工智能的支持,而且人工智能在这一领域的自动化控制的优点能够得到极大的发挥。因为人工智能是利用计算机实现工作,所以完全摆脱了传统控制方法的约束,可以有效解决传统方法难以解决或不能解决的问题,人工智能技术在电气工程自动化方面的作用也就越加重要。为此,本文从分析人工智能的优势入手,研究了人工智能在电气工程自动化过程中的广泛应用。",,2013.0,,84,"人工智能,电气工程自动化,应用分析",人工智能在电气工程自动化中的应用.pdf
电机故障诊断的人工智能方法综述,沈艳霞，纪志成，姜建国,"在分析电机故障诊断传统方法的基础上,讨论了近年来电机故障诊断领域的智能控制手段和最新进展:即神经网络、模糊逻辑、模糊神经和遗传算法等,给出了详细的图表和简化的应用实例,并比较了各方法的优缺点。",,2004.0,,60,"人工智能方法,电机故障诊断,神经网络,模糊逻辑,遗传算法",电机故障诊断的人工智能方法综述.pdf
不确定性人工智能,李德毅，刘常昱，杜鹢...,"摘 要： 在主、客观世界普遍存在的不确定性中,随机性和模糊性是最重要的两种形式.研究了随机性和模糊性之间的关联性,统一用熵作为客观事物和主观认知中不确定状态的度量,用超熵来度量不确定状态的变化,并利用熵和超熵进一步研究了混沌、分形和复杂网络中的不确定性,以及由此带来的种种进化和变异,为实现不确定性人工智能找到了一种简单、有效的形式化方法,也为包括形象思维在内的不确定性思维的自动化打下了基础.不确定性人工智能是人工智能进入21世纪的新发展.这个由多学科交叉渗透构成的新学科,必将使得机器能够具备人脑一样的不确定性信息和知识的表示能力、处理能力和思维能力.",,2004.0,,1617,"熵,超熵,混沌,分形,复杂网络,幂律分布",不确定性人工智能.pdf
转炉炼钢过程人工智能静态控制模型,丁容，刘浏,"将人工神经网络技术应用到转炉炼钢过程控制,与增量模型结合,开发出转炉炼钢人工智能静态控制模型。通过在武钢80 t转炉上的生产试验证明,转炉人工智能静态控制模型比传统的静态控制模型提高了模型对炼钢过程各因素之间复杂非线性关系的处理能力及对系统随机因素变化的反应能力和适应能力,因而提高了静态模型的控制精度和终点命中率。",,1997.0,,77,"转炉,炼钢,人工智能,神经网络,静态模型",转炉炼钢过程人工智能静态控制模型.pdf
不确定性人工智能,李德毅，刘常昱，杜鹢...,"摘 要： 在主、客观世界普遍存在的不确定性中,随机性和模糊性是最重要的两种形式.研究了随机性和模糊性之间的关联性,统一用熵作为客观事物和主观认知中不确定状态的度量,用超熵来度量不确定状态的变化,并利用熵和超熵进一步研究了混沌、分形和复杂网络中的不确定性,以及由此带来的种种进化和变异,为实现不确定性人工智能找到了一种简单、有效的形式化方法,也为包括形象思维在内的不确定性思维的自动化打下了基础.不确定性人工智能是人工智能进入21世纪的新发展.这个由多学科交叉渗透构成的新学科,必将使得机器能够具备人脑一样的不确定性信息和知识的表示能力、处理能力和思维能力.",,2004.0,,1617,"熵,超熵,混沌,分形,复杂网络,幂律分布",不确定性人工智能.pdf
关于BP模型的缺陷的讨论,鲍立威，何敏，沈平,"本文对当前被热烈研究的人工神经网络BP模型进行了深入的讨论,指出了BP模型本身所固有的缺陷。研究了BP网络的隐节点数和逼近性质,指出了现有研究的一个漏洞和误解,并给于修正。",,1995.0,,76,"人工神经网络,BP模型",关于BP模型的缺陷的讨论.pdf
智能混合系统研究综述,贵忠华，刘振凯,"作为人工智能的两个主要研究方向 ,专家系统和神经网络在过去的几十年中均取得了很大的成功 ,但二者又存在一些各自的缺陷 ,不能单独解决一些复杂的工程实际问题 .因此 ,智能混合系统就成为当今人工智能研究领域中的一个非常重要且具有很大实用价值和广阔发展前景的研究领域 .本文分析比较了专家系统和神经网络的基本特点 ,论述智能混合系统的研究现状并指出存在的一些问题",,2000.0,,52,"人工智能,专家系统,神经网络,智能混合系统",智能混合系统研究综述.pdf
数据挖掘综述,钟晓，马少平，张钹...,"数据挖掘技术是一个新兴的、非常重要的、具有广阔应用前景和富有挑战性的研究领域.本文结合具体实例,从概念、方法、特点、任务、过程、应用以及所面临的挑战等各方面对其作了较详细的评述.",,2004.0,,253,"数据挖掘,关联规则,分类,聚类",数据挖掘综述.pdf
基于内容的图像检索综述,庄越挺，潘云鹤，芮勇...,"本文全面综述了在图像检索,尤其是基于内容的图像检索(CBIR)领域的技术和现状。CBIR。是目前国内外的一个研究热点,发展很快。本文的综述包括了多篇相关的研究论文,其内容覆盖了图像特征表达和特征提取,多维度的索引以及系统设计,同时结合我们在该领域所做的工作,对涉及的技术进行了阐述。最后文中基于目前的研究现状,对若干开放的问题进行了探讨,并指出今后的研究方向。",,1999.0,,172,"基于内容的图像检索,纹理特性,颜色布局,图像检索系统,颜色直方图,综述,颜色特征,计算机视觉,视觉特征,特征表达",基于内容的图像检索综述.pdf
基于词典学习和稀疏表示的超分辨率方法,浦剑，张军平,"近年来,从大规模数据集中提取过完备词典,并使用稀疏表示在图像去噪、图像去马赛克和图像修复中有着较广泛应用.然而,这一技术不能直接用于处理具有异构特点的低分辨率/高分辨率图像块对,以及相应的图像超分辨率重构.要解决这一问题,文中提出一种求解同时满足两个过完备词典(低分辨率图像块词典和高分辨率图像块词典)下的相同稀疏表示的方法,并利用它们实现图像稀疏表示的超分辨率重建.为了进一步提高彩色图像的超分辨率效果,还提出基于超分辨率亮度信息的UV色度超分辨率重构.实验结果表明文中方法无论在视觉效果还是均方根误差上都获得更好结果.",,2016.0,,129,"超分辨率,稀疏表示,词典学习",基于词典学习和稀疏表示的超分辨率方法.pdf
粗糙集理论中知识粗糙性与信息熵关系的讨论,苗夺谦，王珏,"粗糙集理论把知识看作是具有粒度的,引入了知识粗糙性的概念.本文主要讨论知识粗糙性与信息熵之间的关系,证明了熵与互信息对于由知识粗糙性定义的偏序""较细""都是单调下降的.通过反例说明,一般情况下,其逆关系是不成立的.同时给出了逆关系成立的条件.揭示了知识粗糙性实质上是其所含信息多少的更深层次上的刻划.",,1998.0,,240,"粗糙集理论,知识粗糙性,信息熵,互信息",粗糙集理论中知识粗糙性与信息熵关系的讨论.pdf
一种基于蚁群算法的TSP问题分段求解算法,吴斌，史忠植,"群居性昆虫行为的研究为计算机科学家提供了设计分布式控制和优化算法的有力方法.对以蚁群算法为代表的群集智能研究已经逐渐成为一个研究热点.本文首先在蚁群算法的基础上提出了相遇算法,提高了蚁群算法蚂蚁一次周游的质量,然后将相遇算法与采用并行策略的分段算法相结合,提出一种基于蚁群算法的TSP问题分段求解算法.实验结果表明该算法有较好的有效性.",,2001.0,,470,"蚁群算法,组合优化,并行策略,群集智能",一种基于蚁群算法的TSP问题分段求解算法.pdf
医学图像分割方法综述,林瑶，田捷,"图像分割是一个经典难题,随着影像医学的发展,图像分割在医学应用中具有特殊的重要意义.本文从医学应用的角度出发,对医学图像分割方法,特别是近几年来图像分割领域中出现的新思路、新方法或对原有方法的新的改进给出了一个比较全面的综述,最后总结了医学图像分割方法的研究特点.",,2002.0,,386,"图像处理,医学图像分割",医学图像分割方法综述.pdf
一种优化初始中心点的K-means算法,汪中，刘贵全，陈恩红,"针对K-means算法所存在的问题,提出一种优化初始中心点的算法.采用密度敏感的相似性度量来计算对象的密度,启发式地生成样本初始中心.然后设计一种评价函数——均衡化函数,并以均衡化函数为准则自动生成聚类数目.与传统算法相比,本文算法可得到较高质量的初始中心和较稳定的聚类结果.实验结果表明该算法的有效性和可行性.",,2009.0,,190,"K-means算法,密度,初始中心点,均衡化函数",一种优化初始中心点的K-means算法.pdf
差分进化算法综述,杨启文，蔡亮，薛云灿,"差分进化算法是一类基于种群的启发式全局搜索技术,对于实值参数的优化具有较强的鲁棒性.为了提高差分进化算法的寻优速度、克服启发式算法常见的早熟收敛问题,许多学者对差分进化算法进行改进.本文综述差分进化的基本形式及其多种改进形式,讨论它们的优缺点,指出下一步的改进方向.",,2008.0,,263,"差分进化,启发式优化,遗传算法",差分进化算法综述.pdf
特征选择算法研究综述,毛勇，周晓波，夏铮...,"Feature selection is a hot topic in current information science, especially in the field of pattern recognition. In this paper, feature selection algorithms are classified from different points of view. Several embranchments of feature selection and the development situation are introduced. Some difficulties in the theoretic analysis and application are involved. From a practicality angle, using support vector machine to select features is considered as the research direction in machine learning.",,2007.0,,260,"特征选择,模式识别,机器学习,Wrapper方法",特征选择算法研究综述.pdf
基于模板匹配和神经网络的车牌字符识别方法,王敏，黄心汉,"本文提出了一种基于模板匹配和神经网络的车牌识别方法。该方法集成了模板匹配识别车牌字符和神经网络识别车牌字符的各自优势。对于字符可单独分割出来的一类车牌,本文提出了一种改进的神经网络来进行字符识别;对于字符不可分割或分割困难的另一类车牌,本文提出了一种基于四灰度加权相似函数模板匹配方法来识别字符。从而克服了单一方法很难同时识别这两类车牌中的字符的不足,同时可有效地提高车牌字符识别的识别率、识别速度或识别系统的泛化能力。实验结果表明:大多数情况下,该方法车牌字符识别率超过90%,识别时间不超过1200毫秒,能更有效识别各种车牌中的字符,能更好地满足实际系统的要求。",,2001.0,,123,"车牌字符识别,模板匹配,神经网络,集成",基于模板匹配和神经网络的车牌字符识别方法.pdf
基于视觉的道路跟踪,杨明，陆建业，王宏...,"基于视觉的道路跟踪是智能车辆导航的核心问题,它包括道路检测和障碍物检测两个组成部分.本文首先结合大量的现有系统对道路跟踪的方法进行了综述,然后介绍了三个代表性系统,并对其最新实验结果进行了分析.在此基础上,对该领域今后的发展方向进行了展望.",,2001.0,,105,"道路跟踪,道路检测,障碍物检测,计算机视觉,智能车辆导航",基于视觉的道路跟踪.pdf
混沌粒子群优化算法研究,高尚，杨静宇,"利用混沌运动的遍历性、随机性和规律性等特点,提出一种求解优化问题的混沌粒子群优化(CPSO)算法.该算法的基本思想是采用混沌初始化进行改善个体质量和利用混沌扰动避免搜索过程陷入局部极值.典型复杂函数优化仿真结果表明该方法是一种较简单有效的算法.",,2006.0,,106,"粒子群,混沌,混沌扰动,混沌粒子群优化算法",混沌粒子群优化算法研究.pdf
云模型在倒立摆控制中的应用,陈晖,该文提出一种利用云模型有效地实现单电机控制的三级倒立摆的动态平衡的方法。通过研究倒立摆系统的定性控制机理，给出了定性和定量之间转换的云模型的形式化表示，用来反映语言值中蕴涵的模糊性和随机性，解释多条定性规则同时被激活的不确定性推理过程。研究成果不仅可用于对太空飞行器以及机器人控制，而且对揭示定性定量转换规律和策略具有普遍意义。,,1999.0,,78,"倒立摆,云模型,定性推理",云模型在倒立摆控制中的应用.pdf
人脸识别研究综述,李武军，王崇骏，张炜...,"人脸识别已成为多个学科领域的研究热点之一.本文对人脸识别的发展历史、研究现状进行了综述,系统地对目前主流人脸识别方法进行了分类.针对人脸识别面临的挑战,着重对近几年来在光照和姿态变化处理方面的研究进展进行了详细论述,并对未来人脸识别的发展方向进行了展望.",,2005.0,,252,"人脸识别,人脸检测,模式识别",人脸识别研究综述.pdf
货运列车车型车号自动分割和识别算法,王少杰，朱志刚,摘 要： 本文给出了一个能有效地自动分割／识别货车车号的方法。,,1998.0,,92,"图像分割,图文分离,字符识别,货运列车,车号",货运列车车型车号自动分割和识别算法.pdf
可变多粒度粗糙集模型,张明，唐振民，徐维艳...,"通过分析乐观多粒度粗糙集和悲观多粒度粗糙集的不足之处,提出一种可变多粒度粗糙集模型.研究可变多粒度粗糙集、乐观多粒度和悲观多粒度粗糙集的性质,讨论它们之间度量的关系,研究可变多粒度粗糙集决策规则获取的方法.提出一种基于属性重要度的启发式约简的算法.实例分析结果验证该方法的可行性.",,2012.0,,62,"可变多粒度粗糙集,粒计算,度量,约简",可变多粒度粗糙集模型.pdf
可变多粒度粗糙集模型,张明，唐振民，徐维艳...,"通过分析乐观多粒度粗糙集和悲观多粒度粗糙集的不足之处,提出一种可变多粒度粗糙集模型.研究可变多粒度粗糙集、乐观多粒度和悲观多粒度粗糙集的性质,讨论它们之间度量的关系,研究可变多粒度粗糙集决策规则获取的方法.提出一种基于属性重要度的启发式约简的算法.实例分析结果验证该方法的可行性.",,2012.0,,62,"可变多粒度粗糙集,粒计算,度量,约简",可变多粒度粗糙集模型.pdf
卡尔曼滤波与多传感器数据融合技术,蔡鹤皋，金明河，金峰,"本文介绍了国际上卡尔曼滤波在多传感器数据融合领域的应用,并着重阐述了IMM算法和分布式卡尔曼滤波的思想,总结了卡尔曼滤波在该领域的应用潜力.文中还介绍了在互联网络上相关的站点和新闻组的地址.",,2000.0,,73,"多传感器数据融合,卡尔曼滤波",卡尔曼滤波与多传感器数据融合技术.pdf
支持向量机回归理论与控制的综述,王定成，方廷健，唐毅...,"支持向量机回归理论与神经网络等非线性回归理论相比具有许多独特的优点.SVMR有线性回归和非线性回归,其模型的选择包括核的选择、容量控制以及损失函数的选择.SVMR在控制方面的研究包括非线性时间序列的预测及应用、系统辨识以及优化控制和学习控制等方面的研究.将SVMR应用于控制方法的研究,是智能控制的一个崭新的研究方向,具有广阔的应用前景.",,2003.0,,78,"支持向量机回归(SVMR),建模,控制",支持向量机回归理论与控制的综述.pdf
汽车牌照的提取方法研究,富煜清，沈巍，黄心晔,"汽车牌照提取是汽车牌照自动识别的关键一步.本文提出了利用扫描行离差数据、有效谷峰点特征及先验知识来初步定位车牌区域,并提出了倾斜车牌校正算法及车牌上下界精确定位算法.",,2000.0,,106,"车牌定位,有效谷峰点,车牌校正",汽车牌照的提取方法研究.pdf
直接从双峰直方图确定二值化阈值,梁华为,"图像分割是计算机视觉中重要和基础的研究内容之一.使用阈值是一种常见且重要的区域分割技术,它对物体与背景有较强对比的景物的分割特别有用.通常采用直方图技术来确定阈值.本文介绍了一种新的不需对直方图做预处理而能直接通过计算求得二值化阈值的方法,并将它与常用的大津法(Otsu法)进行了比较.实验表明,本文的方法是快速有效的.",,2002.0,,96,"图像分割,二值化,双峰直方图,阈值",直接从双峰直方图确定二值化阈值.pdf
基于隐主题分析和文本聚类的微博客中新闻话题的发现,路荣，项亮，刘明荣...,提出一种在大规模微博客短文本数据集上发现新闻话题的方法。利用隐主题分析技术，解决短文本相似度度量的问题。在每个时间窗口内，根据新闻的特点选取出最有可能谈论新闻事件的微博客文本，然后用两层的K均值和层次聚类的混合聚类方法，对这个时间窗口内的那些最有可能谈论新闻事件的微博文本进行聚类，从而检测出新闻话题。此方法能较好地解决微博客短文本的数据稀疏性及数据量巨大的问题。实验证明该算法的有效性。,,2012.0,,54,"微博客,短文本,隐主题模型,话题发现,混合聚类",基于隐主题分析和文本聚类的微博客中新闻话题的发现.pdf
最佳边缘检测的准则与算子,周凌翔,摘 要： 边缘检测的任务是寻求噪声平滑与边缘定位的最佳折中。本文基于一和北度边界模型提出一种结合噪信比与定位精度的新的检测准则，导出满足最佳性质的算子，它们可以利用递推计算高效实现。,,1998.0,,65,"图像处理,边缘检测,自适应滤波,递推算子",最佳边缘检测的准则与算子.pdf
人体运动分析研究的若干新进展,黎洪松，李达,"人体运动视觉分析主要包括运动目标检测、运动目标分类、人体运动跟踪、人体行为识别与描述四个环节,在多领域具有广阔的应用前景.本文从上述四个方面综述了人体运动分析的研究现状,对人体运动分析的热点难点进行讨论,对可能的发展方向进行阐述和展望.",,2009.0,,67,"计算机视觉,人体运动分析,运动检测,运动跟踪,行为识别",人体运动分析研究的若干新进展.pdf
镶嵌图在人面定位中的应用,杨光正，黄熙涛,人面是常见的复杂模式.在复杂景物图片中自动找出人面是一个困难但有重要意义的任务.这是自动人面识别系统的第一个重要步骤.作者提出了一个多层的基於知识的人面定位系统来在复杂背景中找出人面.在这个系统中高层是建立在镶嵌图上的.本文介绍了镶嵌图的一些性质和它们在人面定位中的应用.提出了在具有复杂背景图片中尺寸和数量未知的人面定位问题的解决方法.,,1996.0,,59,"人面定位,镶嵌图,基於知识的模式识别",镶嵌图在人面定位中的应用.pdf
